avg(word_count),variance,relative_variance,to_id,date
26.454545454545453,625.2121212121212,23.633447880870563,1151638451,2023-04-25T08:19:39Z
28.666666666666668,87.46666666666665,3.0511627906976737,1034394929,2021-07-19T16:23:08Z
29.375,431.125,14.676595744680851,996009533,2020-12-24T01:24:04Z
43.357142857142854,1429.6455026455023,32.97370187320764,1258624085,2024-11-20T18:55:02Z
53.92857142857143,2076.071428571429,38.49668874172186,1258219250,2024-11-18T20:04:07Z
13.181818181818182,156.96363636363634,11.90758620689655,1253126031,2024-10-24T13:34:46Z
32.583333333333336,2085.2101449275365,63.99621928166352,1249405572,2024-10-04T19:07:15Z
29.0625,398.1250000000001,13.6989247311828,1240964159,2024-08-18T15:02:42Z
24.363636363636363,1886.8545454545456,77.44552238805971,1076756755,2022-03-12T19:29:25Z
5.4,4.8,0.8888888888888888,1034936315,2021-07-22T17:27:51Z
17.433333333333334,411.15057471264385,23.5841629854289,970302102,2020-07-30T14:13:42Z
35.833333333333336,3343.8000000000006,93.31534883720931,1079250281,2022-03-25T20:27:11Z
53.0625,3926.5958333333333,73.99945033372595,1031702580,2021-07-03T04:33:19Z
43.72,2150.5433333333326,49.189005794449514,1016644183,2021-04-08T09:17:02Z
24.6,375.6,15.268292682926829,1005366235,2021-02-07T08:54:26Z
35.5,1245.119047619048,35.07377598926895,995651027,2020-12-22T04:22:26Z
34.125,1255.267857142857,36.784406070120355,994250878,2020-12-14T20:09:57Z
28.583333333333332,510.99242424242425,17.877285979326796,1258604432,2024-11-20T16:47:29Z
49.333333333333336,1254.5797101449277,25.43066980023502,1215631384,2024-03-26T07:18:12Z
30.866666666666667,968.5333333333331,31.377969762419,1080287660,2022-03-31T10:10:42Z
3.0,3.1999999999999997,1.0666666666666667,1073560556,2022-02-23T09:48:15Z
43.285714285714285,2021.9047619047617,46.71067106710671,1031709663,2021-07-03T05:42:30Z
25.0,1273.5,50.94,1031657922,2021-07-02T22:14:58Z
15.833333333333334,80.87398373983741,5.107830551989731,1251677595,2024-10-17T12:49:35Z
12.0,331.0,27.583333333333332,971631966,2020-08-07T09:31:17Z
30.06122448979592,1401.1420068027212,46.60961190314551,970400868,2020-07-31T02:36:12Z
31.6,1466.9333333333334,46.42194092827004,1014090324,2021-03-25T03:14:43Z
19.714285714285715,489.2380952380952,24.816425120772944,984595281,2020-10-20T23:56:28Z
28.058823529411764,451.93382352941165,16.10665618448637,1258820589,2024-11-21T20:31:17Z
11.555555555555555,41.52777777777777,3.5937499999999996,1258436478,2024-11-19T18:52:15Z
41.08695652173913,1025.8102766798418,24.96681096681096,1247560624,2024-09-24T21:08:31Z
27.382978723404257,702.6762257169287,25.661058748015265,1015644534,2021-04-02T17:20:36Z
29.035714285714285,195.2208994708995,6.723475012527905,1234636109,2024-07-15T10:34:26Z
22.333333333333332,813.0666666666665,36.405970149253726,978594148,2020-09-15T20:56:21Z
2.4285714285714284,1.6190476190476186,0.6666666666666665,960240018,2020-06-01T21:47:56Z
6.404255319148936,24.289546716003706,3.7927199191102132,953561464,2020-04-27T21:23:12Z
32.55555555555556,413.20261437908493,12.692230475808069,1080829166,2022-04-03T18:20:18Z
33.0,1005.2307692307694,30.461538461538467,1066750386,2022-01-19T23:25:20Z
44.25,3036.934210526316,68.63128159381505,1012413734,2021-03-16T07:37:41Z
26.727272727272727,1380.0181818181818,51.63333333333333,1007265963,2021-02-17T06:19:47Z
44.82222222222222,1679.6534332084898,37.47367600118098,1176390297,2023-09-21T12:17:35Z
23.0,118.28571428571429,5.142857142857143,1237140215,2024-07-28T09:25:43Z
20.291666666666668,475.7807971014492,23.44710293723774,955255576,2020-05-06T20:02:25Z
20.333333333333332,308.24242424242425,15.15946348733234,1263956802,2024-12-19T15:55:47Z
17.103448275862068,666.2389162561576,38.95348502304147,1233929171,2024-07-11T17:20:12Z
23.133333333333333,910.4643678160922,39.357249329225894,1137371861,2023-02-04T07:59:05Z
31.085714285714285,631.7865546218486,20.324016003460205,1031486320,2021-07-01T22:13:34Z
31.666666666666668,166.66666666666669,5.2631578947368425,1250503955,2024-10-10T20:28:58Z
20.37037037037037,193.31908831908828,9.490209790209787,1246393589,2024-09-18T17:45:55Z
29.458333333333332,793.0416666666667,26.920792079207924,1235915783,2024-07-21T21:51:21Z
29.1875,807.4958333333335,27.665810135617424,1234920005,2024-07-16T20:25:34Z
9.307692307692308,140.23076923076923,15.066115702479337,1233934520,2024-07-11T18:01:20Z
2.6944444444444446,24.61825396825397,9.136671575846833,1096535840,2022-07-05T02:51:13Z
29.387096774193548,781.1118279569891,26.58009513355287,1064478003,2022-01-08T15:38:59Z
33.0,432.2352941176471,13.098039215686274,1081928067,2022-04-10T13:43:46Z
24.916666666666668,582.0833333333334,23.361204013377925,1045456477,2021-09-20T17:29:02Z
16.444444444444443,143.52777777777777,8.72804054054054,1030858854,2021-06-28T11:58:21Z
29.166666666666668,606.9666666666667,20.810285714285715,976176550,2020-09-01T15:58:50Z
24.3,272.23333333333335,11.203017832647463,1258230960,2024-11-18T21:16:47Z
29.153846153846153,1494.3076923076924,51.25593667546175,1233935564,2024-07-11T18:09:05Z
39.02857142857143,3244.499159663866,83.1313840323831,971663546,2020-08-07T13:52:02Z
21.6,434.4888888888888,20.115226337448554,1079622824,2022-03-27T19:37:14Z
45.57142857142857,1809.2857142857144,39.70219435736678,1006914812,2021-02-15T14:22:20Z
32.21052631578947,526.2865497076023,16.338961510530137,1258440342,2024-11-19T19:18:03Z
20.0,264.22222222222223,13.211111111111112,1250120103,2024-10-08T15:44:38Z
